,"H1[L=50,portfolio=btc]|base","H1[L=50,portfolio=btc]|stress","H1[L=50,portfolio=btc]|delay","H1[L=50,portfolio=top5]|base","H1[L=50,portfolio=top5]|stress","H1[L=50,portfolio=top5]|delay","H1[L=100,portfolio=btc]|base","H1[L=100,portfolio=btc]|stress","H1[L=100,portfolio=btc]|delay","H1[L=100,portfolio=top5]|base","H1[L=100,portfolio=top5]|stress","H1[L=100,portfolio=top5]|delay",H1[walk-forward]|base,H1[walk-forward]|stress,H1[walk-forward]|delay,H2[L=20]|base,H2[L=20]|stress,H2[L=20]|delay,H2[L=50]|base,H2[L=50]|stress,H2[L=50]|delay,H2[walk-forward]|base,H2[walk-forward]|stress,H2[walk-forward]|delay,H3[cadence=weekly]|base,H3[cadence=weekly]|stress,H3[cadence=weekly]|delay,H3[cadence=biweekly]|base,H3[cadence=biweekly]|stress,H3[cadence=biweekly]|delay,H3[walk-forward]|base,H3[walk-forward]|stress,H3[walk-forward]|delay,BTC_buy_hold|base,EW_monthly|base,BTC_buy_hold|stress,EW_monthly|stress,BTC_buy_hold|delay,EW_monthly|delay
2021-07-01 00:00:00+00:00,1.589104653669671,1.4753242976328524,1.1360403307499762,2.2977597855934393,2.0926840546822927,1.6970370332167317,0.15264834049385528,0.08286887778676019,-0.30142833146392234,1.2790206149370917,1.09763515733571,0.6169065447100569,0.15264834049385528,0.08286887778676019,-0.30142833146392234,-4.122456885754401,-3.76415049362109,-4.326432216118399,-4.122456885754401,-3.76415049362109,-4.326432216118399,-4.122456885754401,-3.76415049362109,-4.326432216118399,-2.7981549686552554,-2.6398508935492186,-3.817814143950603,-2.7119068825610477,-2.9710707491748676,-3.2422680257428254,-2.7981549686552554,-2.6398508935492186,-3.817814143950603,1.9031847600061256,1.7547096820973382,1.854603631632449,1.6778965930299758,1.851817892184279,1.6656252889546996
2021-10-01 00:00:00+00:00,1.7987199088605708,1.649501206591788,1.3473683887428098,2.5399559410956654,2.3148172553343915,2.6365556458220154,0.9898074357993112,0.9337145857433843,1.1043873106909425,1.6983237169402754,1.5295387016534547,1.8931085922450634,2.3813703834378996,2.3042579574771094,2.0287400439594467,-3.6143360394558974,-3.779706489923465,-0.5780644380792086,-3.6143360394558974,-3.779706489923465,-0.6455318567237153,-3.6143360394558974,-3.779706489923465,-0.5780644380792086,-3.790559944235353,-3.958135563986782,-1.9857887253462139,1.5572629614173041,1.3753802578796586,1.2184748752448065,-3.790559944235353,-3.958135563986782,-1.9857887253462139,0.645920990848275,0.8271398302068989,0.6459209908482703,0.7699605663264543,0.6459209908482773,0.7109561158399414
2022-01-01 00:00:00+00:00,2.3057799607557485,2.064400847089598,2.7569015518602447,3.6812985808713043,3.3372270689508126,4.011169543353762,-2.101235468685126,-2.4787915666302793,-2.525305058687025,1.3250496675411527,-2.86053803163595,1.7692620627232492,2.305779960755724,2.064400847089602,2.756901551860313,-2.102243408044648,-2.9298702298171975,-1.80500650199112,-3.5242965284972936,-3.219473502181539,-3.7992308641384978,-2.102243408044648,-2.9298702298171975,-1.80500650199112,-2.575924802755481,-2.777543279381044,-2.6900192396891196,-2.575924802755471,-2.7775432793810433,-2.6900192396891263,-2.575924802755481,-2.777543279381044,-2.6900192396891196,0.24131627280777132,-1.0631452721711532,0.24131627280775794,-1.1206004211348335,0.24131627280776133,-1.0532306383546086
2022-04-01 00:00:00+00:00,-2.714325490658651,-2.8380911152659736,-2.1386205065783757,-2.4731042036191937,-2.587071686534269,-2.2121771063577067,-2.7153531517005596,-2.8389583297646603,-2.1385971242409543,-1.5889337753428892,-3.684698352860378,-0.9468449875806787,-3.4148799817009956,-3.5909986136734875,-2.9956491899315423,-3.4315733529771406,-3.6135120440998247,-3.3670720612451412,-3.4943408086242935,-3.6762159934475735,-3.042807224283206,-3.4315733529771406,-3.6135120440998247,-3.3670720612451412,-3.1223398684578747,-3.3103903876611978,-2.3291437706324705,-2.334358868883038,-2.5089064928142473,-1.095613846603153,-2.3343588688830406,-2.5089064928142566,-1.0956138466031504,-4.103226547141496,-3.5508019728211395,-4.1032265471414995,-3.5707361641410515,-4.103226547141502,-3.5216416801476242
2022-07-01 00:00:00+00:00,-0.7092091872303266,-0.87279943211396,-0.11557019445244597,-0.7398662104311885,-0.8572904415784566,0.08799359687894058,0.0,0.0,0.0,0.0,0.0,0.0,-0.7398662104311868,-0.8572904415784655,0.08799359687894417,1.365014713924283,1.1413207930255707,1.6770887720063266,0.872653158924369,0.6500451832895352,0.5066329272959468,1.365014713924283,1.1413207930255707,1.6770887720063266,0.5474364989219677,0.2040728602296407,-1.408993060041049,0.3504431831690145,0.07217249891560264,-0.7763892833934753,0.35044318316902023,0.07217249891559939,-0.7763892833934711,0.1119276801192262,0.9084669027866458,0.11192768011923789,0.8517166925167322,0.11192768011923349,0.9696636449833643
2022-10-01 00:00:00+00:00,-2.2795521902196336,-2.415436675302704,-2.0591175016030894,-2.053968610368825,-2.2324351072894366,-2.9771133728302086,-2.5114226179519017,-2.6466059888497457,-2.1533281530796944,-2.5012991471893695,-2.6583973588898,-1.3131347341727566,-2.5012991471893677,-2.6583973588898018,-1.3131347341727573,-0.5999186068212444,-0.973152701184354,-2.18305373843533,-1.3766099453888208,-1.762225295510913,-2.5538566573040047,-0.5999186068212444,-0.973152701184354,-2.18305373843533,-0.8920518990312261,-1.2835186865280153,-2.565917738319677,-0.5403958111688637,-0.7414165243614663,-1.2093183103506504,-0.5403958111688687,-0.7414165243614643,-1.2093183103506548,-0.9680394530058837,-1.6382766190395663,-0.9680394530058899,-1.682913067823682,-0.9680394530058868,-1.5574323623908863
2023-01-01 00:00:00+00:00,2.552382495416258,2.312163120462332,2.6644885836423366,1.7048765303253566,1.4575786629700689,1.8106095786735663,2.5121065447224984,2.433001708641609,2.3582957728538396,-0.338184650190804,-0.5046820372877613,-0.9168502112775369,1.7048765303253566,1.457578662970063,1.8106095786735679,1.5249533934701713,1.6136513094664637,1.2463341932588206,1.6922816390198185,1.466246305277287,1.1536763818988072,1.5249533934701713,1.6136513094664637,1.2463341932588206,1.6769151098716464,1.3551536037951857,1.2237844743138269,1.509445520031297,1.23668843158918,2.188043751087361,1.676915109871648,1.3551536037951823,1.2237844743138229,4.206649193232667,2.2703399458068176,4.206649193232674,2.167136708209112,4.206649193232664,2.1952217613856826
2023-04-01 00:00:00+00:00,-0.2220459731669233,-0.45393939628350816,-0.5232076967951576,-0.9903719581194309,-1.1675528833905149,-1.1999312877873531,-1.170509252049126,-1.3354762971726821,-1.0386137307423446,-0.8791630135177757,-1.148287228412842,-1.2623629119806783,-1.14300698939984,-1.3882373522141773,-0.9405593771131595,-1.093580191016675,-1.210590315699705,-2.1359816736670685,-1.1210638502980963,-0.7075030294148155,-1.138370904613407,-1.093580191016675,-1.210590315699705,-2.1359816736670685,-1.7005922458292437,-2.3516542617382084,-1.9489930187910212,-1.5519388886037782,-1.8419982915082993,-1.9707330268011982,-1.700592245829249,-2.3516542617382035,-1.94899301879102,0.8650054607242349,-1.6868142117466884,0.8650054607242367,-1.8067757478778361,0.8650054607242221,-1.6671796167555455
2023-07-01 00:00:00+00:00,-1.2643271870444122,-1.4520658780584772,-1.308841787503201,-0.819558457311457,-1.100091476716066,-0.8177033208094111,-2.7329187604972582,-2.8475355782923373,-2.772828046561757,-2.857423693714569,-3.1253602873373936,-2.800742834215635,-1.2643271870443686,-1.4520658780583828,-1.3088417875031615,-1.0840478503930162,-2.35360178626079,-1.8348748069016534,-2.702430931697813,-3.1531200392732934,-2.6769332345417163,-1.0840478503930162,-2.35360178626079,-1.8348748069016534,-1.178315779311727,-1.0191934012257071,-0.8056118964630093,-0.5160354778487465,-0.8042734338065025,-1.0855603432351397,-1.17831577931173,-1.0191934012257053,-0.8056118964630151,-1.4298941746488847,-0.5838680436592082,-1.4298941746488847,-0.6803980842118577,-1.4298941746488822,-0.590936216757167
2023-10-01 00:00:00+00:00,3.774395519584982,3.6677363380020993,4.001225030526231,4.733482299721847,-3.3844806865790185,4.734065279551548,3.3551945928598483,3.3167354905824147,2.7442937642990333,4.399120060900481,4.289292885952669,3.6002910239454082,3.774395519585019,3.667736338002129,4.001225030526196,-2.3526584458673265,3.16110004870335,3.3472872839328,4.797174944032228,4.5617111773715795,4.683987780743881,-2.3526584458673265,3.16110004870335,3.3472872839328,5.159796419665823,4.866782300251729,5.250773223513057,5.048115286538965,2.57749581556842,5.2786386111151575,5.048115286538966,2.5774958155684224,5.278638611115159,4.269606673468951,5.220913654704303,4.269606673468961,5.1158392609032335,4.269606673468951,5.15057053570023
