time,"H1[L=50,portfolio=btc]|base","H1[L=50,portfolio=btc]|stress","H1[L=50,portfolio=btc]|delay","H1[L=50,portfolio=top5]|base","H1[L=50,portfolio=top5]|stress","H1[L=50,portfolio=top5]|delay","H1[L=100,portfolio=btc]|base","H1[L=100,portfolio=btc]|stress","H1[L=100,portfolio=btc]|delay","H1[L=100,portfolio=top5]|base","H1[L=100,portfolio=top5]|stress","H1[L=100,portfolio=top5]|delay",H1[walk-forward]|base,H1[walk-forward]|stress,H1[walk-forward]|delay,H2[L=20]|base,H2[L=20]|stress,H2[L=20]|delay,H2[L=50]|base,H2[L=50]|stress,H2[L=50]|delay,H2[walk-forward]|base,H2[walk-forward]|stress,H2[walk-forward]|delay,H3[cadence=weekly]|base,H3[cadence=weekly]|stress,H3[cadence=weekly]|delay,H3[cadence=biweekly]|base,H3[cadence=biweekly]|stress,H3[cadence=biweekly]|delay,H3[walk-forward]|base,H3[walk-forward]|stress,H3[walk-forward]|delay,BTC_buy_hold|base,EW_monthly|base,BTC_buy_hold|stress,EW_monthly|stress,BTC_buy_hold|delay,EW_monthly|delay
2021-07-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000769784380087124,0.010610586036458258,-0.007110292662275808,0.002653022366879476,0.0,0.0
2021-07-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02594703390206554,0.033471101813838944,0.02594703390206554,0.033471101813838944,0.017804898206057684,0.024954117566732048
2021-07-04 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017354455431841664,0.03150647450533062,0.017354455431841442,0.03150647450533106,0.017354455431841664,0.03085377961460911
2021-07-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4547632714755352e-05,-0.002904547632714527,0.0,-2.4547632714755352e-05,-0.002904547632714527,0.0,-2.4547632714755352e-05,-0.002904547632714527,0.0,0.020921550687033275,0.013721550687033623,0.0,0.020921550687033275,0.013721550687033623,0.0,0.020921550687033275,0.013721550687033623,0.0,-0.04495714069104906,-0.012870285150662353,-0.04495714069104906,-0.012870285150662353,-0.04495714069104906,-0.013614116010452815
2021-07-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005276818261868432,-0.00529205976814362,-0.007960919750944484,-0.005276818261868432,-0.00529205976814362,-0.007960919750944484,-0.005276818261868432,-0.00529205976814362,-0.007960919750944484,0.0032208527750403615,0.003243729017500252,-0.003874983283411071,0.0032208527750403615,0.003243729017500252,-0.003874983283411071,0.0032208527750403615,0.003243729017500252,-0.003874983283411071,0.015667204189712347,0.03273493334887334,0.015667204189712347,0.03273493334887356,0.015667204189712347,0.03327459109973341
2021-07-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015610506247968226,-0.01565583535409365,-0.01398472488377911,-0.015610506247968226,-0.01565583535409365,-0.01398472488377911,-0.015610506247968226,-0.01565583535409365,-0.01398472488377911,-0.00925342890233094,-0.009318939272867421,-0.007665376182687589,-0.00925342890233094,-0.009318939272867421,-0.007665376182687589,-0.00925342890233094,-0.009318939272867421,-0.007665376182687589,-0.010143538209411607,0.004893631924804076,-0.010143538209411718,0.004893631924804298,-0.010143538209411496,0.0051405942527400494
2021-07-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020690821882937138,-0.020751858567970127,-0.020627450853223928,-0.020690821882937138,-0.020751858567970127,-0.020627450853223928,-0.020690821882937138,-0.020751858567970127,-0.020627450853223928,-0.0663784467839269,-0.06685279862322357,-0.0665520365380502,-0.0663784467839269,-0.06685279862322357,-0.0665520365380502,-0.0663784467839269,-0.06685279862322357,-0.0665520365380502,-0.029594233048866325,-0.07575100748982411,-0.029594233048866214,-0.07575100748982422,-0.029594233048866325,-0.07580806061613643
2021-07-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012674373669962824,0.012712554639078721,0.012284264314387006,0.012674373669962824,0.012712554639078721,0.012284264314387006,0.012674373669962824,0.012712554639078721,0.012284264314387006,0.032667511661454984,0.03291768406428397,0.03191098472107301,0.032667511661454984,0.03291768406428397,0.03191098472107301,0.032667511661454984,0.03291768406428397,0.03191098472107301,0.02884509801237689,0.03574641393047928,0.02884509801237689,0.03574641393047928,0.02884509801237689,0.03550588305286628
2021-07-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00956907682888919,-0.009597541376639596,-0.009576498178606174,-0.00956907682888919,-0.009597541376639596,-0.009576498178606174,-0.00956907682888919,-0.009597541376639596,-0.009576498178606174,-0.0170300624499079,-0.017156324801239187,-0.016588372346536095,-0.0170300624499079,-0.017156324801239187,-0.016588372346536095,-0.0170300624499079,-0.017156324801239187,-0.016588372346536095,-0.009132794035996872,-0.008278798923288755,-0.009132794035996872,-0.008278798923288644,-0.00913279403599676,-0.00854244598438303
